ID;requestedByID;requestType;requestedText;status;requestedAt
aa000001-0000-0000-0000-000000000001;EMP1;newSkill;Angular;pendingReview;2026-07-16T08:00:00Z
aa000001-0000-0000-0000-000000000002;EMP2;newSkill;React Native;pendingReview;2026-07-15T09:00:00Z
aa000001-0000-0000-0000-000000000003;EMP3;newSkill;Conflict Resolution;pendingReview;2026-07-14T10:00:00Z
aa000001-0000-0000-0000-000000000004;EMP5;newSkill;Svelte;pendingReview;2026-07-13T11:00:00Z
aa000001-0000-0000-0000-000000000005;EMP7;newSkill;Terraform;pendingReview;2026-07-12T12:00:00Z
aa000001-0000-0000-0000-000000000006;EMP9;newSkill;Spring Boot;pendingReview;2026-07-11T13:00:00Z
aa000001-0000-0000-0000-000000000007;EMP11;newSkill;Vue.js;pendingReview;2026-07-10T14:00:00Z
aa000001-0000-0000-0000-000000000008;EMP4;newSkill;SAP Fiori Elements;decided;2026-07-09T15:00:00Z
aa000001-0000-0000-0000-000000000009;EMP6;newSkill;SAP S/4HANA;decided;2026-07-08T16:00:00Z
aa000001-0000-0000-0000-000000000010;EMP8;newSkill;Negotiation;decided;2026-07-07T17:00:00Z
